Name,Description,Camera_quality,Price,Rating,Image_url
"Apple iPhone 15 (Pink, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A16 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",48MP + 12MP | 12MP Front Camera,"₹65,999",4.6,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/flipkart-plus_8d85f4.png
"Apple iPhone 15 (Green, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A16 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",48MP + 12MP | 12MP Front Camera,"₹65,999",4.6,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/plus_aef861.png
"Apple iPhone 15 (Black, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A16 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",48MP + 12MP | 12MP Front Camera,"₹65,999",4.6,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png
"Apple iPhone 15 (Blue, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A16 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",48MP + 12MP | 12MP Front Camera,"₹65,999",4.6,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/buying-guide-illustration_4dd325.png
"Apple iPhone 13 (Pink, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip Processor
Brand Warranty for 1 Year",12MP + 12MP | 12MP Front Camera,"₹52,999",4.7,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70
"Apple iPhone 14 (Midnight, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12MP + 12MP | 12MP Front Camera,"₹58,999",4.6,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg=="
"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12MP + 12MP | 12MP Front Camera,"₹58,999",4.6,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png
"Apple iPhone 13 (Starlight, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip Processor
Brand Warranty for 1 Year",12MP + 12MP | 12MP Front Camera,"₹52,999",4.7,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70
"Apple iPhone 14 Plus (Starlight, 128 GB)","128 GB ROM
17.02 cm (6.7 inch) Super Retina XDR Display

A15 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12MP + 12MP | 12MP Front Camera,"₹65,999",4.6,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg=="
"Apple iPhone 13 (Blue, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip Processor
Brand Warranty for 1 Year",12MP + 12MP | 12MP Front Camera,"₹52,999",4.7,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png
"Apple iPhone 15 (Pink, 256 GB)","256 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A16 Bionic Chip, 6 Core Processor Processor
1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",48MP + 12MP | 12MP Front Camera,"₹75,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70
"Apple iPhone 13 (Green, 128 GB)","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display

A15 Bionic Chip Processor
Brand Warranty for 1 Year",12MP + 12MP | 12MP Front Camera,"₹52,999",4.7,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg=="
